artist_id,artist_uri,artist_name,artist_genres,artist_popularity,artist_follower,artist_image_url
027TpXKGwdXP7iwbjUSpV8,spotify:artist:027TpXKGwdXP7iwbjUSpV8,The Walters,"['chicago indie', 'pov: indie']",73,823459,https://i.scdn.co/image/ab6761610000e5eb6c4366f40ea49c1318707f97
06HL4z0CvFAxyc27GXpf02,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,['pop'],100,125121649,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
06QVnTCdjs4jPKO0487EGV,spotify:artist:06QVnTCdjs4jPKO0487EGV,Fiersa Besari,"['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']",70,5244138,https://i.scdn.co/image/ab6761610000e5ebaf659f61f9c27fb44fcd153f
09Xydf4dlkr29dH99DmsvQ,spotify:artist:09Xydf4dlkr29dH99DmsvQ,Janine,"['opm', 'pinoy singer-songwriter']",65,536593,https://i.scdn.co/image/ab6761610000e5eb624bad868bb6710a5020cb32
0CO1IZAPmgTbkfXvcRCLsL,spotify:artist:0CO1IZAPmgTbkfXvcRCLsL,BAN,[],52,49057,https://i.scdn.co/image/ab67616d0000b273d2d38c122fe10d906459bc34
0DpLoyGVbhOHNR3ht2oO9y,spotify:artist:0DpLoyGVbhOHNR3ht2oO9y,Calein,"['opm', 'pinoy city pop']",60,551823,https://i.scdn.co/image/ab6761610000e5ebb169229f8254ce1389273cf9
0FRUZvZNPzM3YJMABJxf2K,spotify:artist:0FRUZvZNPzM3YJMABJxf2K,WENDY,"['k-pop', 'korean pop']",55,946935,https://i.scdn.co/image/ab6761610000e5ebeb30a593572712cb0a32a645
0NIIxcxNHmOoyBx03SfTCD,spotify:artist:0NIIxcxNHmOoyBx03SfTCD,Tinashe,"['alternative r&b', 'dance pop', 'metropopolis', 'pop', 'r&b']",74,2866601,https://i.scdn.co/image/ab6761610000e5eba669f860c74c9007934d2cb6
0OjRa6r1EIPF5RZPy1SGz9,spotify:artist:0OjRa6r1EIPF5RZPy1SGz9,Musketeers,"['deep german indie', 't-pop', 'thai pop']",59,640742,https://i.scdn.co/image/ab6761610000e5eb9ce1effcd929f5776754ffd8
0UAiHanBWs5vRM1tSPf2RJ,spotify:artist:0UAiHanBWs5vRM1tSPf2RJ,No One Else,['t-pop'],57,181048,https://i.scdn.co/image/ab6761610000e5eb704270d2e87d36d712d461e4
0WleeEe3UurwlNbDGhb5Yz,spotify:artist:0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,"['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']",62,834602,https://i.scdn.co/image/ab6761610000e5eb68483d34cba192ef2827b0ca
