artists_id,album_id,track_id,track_uri,track_name,track_release_date,track_date_added,track_duration_ms,track_popularity,track_position,is_explicit,country,timestamp,stream_count
"3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C",2IYQwwgxgOIn7t3iF6ufFD,5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,2024-10-31T12:37:43Z,169917,96,1,False,Indonesia,2024-11-01,182002510
"1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C",10FLjwfpbxLmW8c25Xyc2N,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,2024-10-31T12:37:43Z,251667,100,2,False,Indonesia,2024-11-01,793128354
47z98pKd71yIbgXwe9LPVC,5K8xqV7MCe3UIfedVAlZSe,7zOVh5fGpEwSbZd0g9z80B,spotify:track:7zOVh5fGpEwSbZd0g9z80B,Satu Bulan,2023-06-22,2024-10-31T12:37:43Z,200476,84,3,False,Indonesia,2024-11-01,206778990
"5Plk4JdCzMxhAHSRTEsxJp, 1lg1jqQMMJQQFFMnkxn0zV",59ptvvKVVgt5Oo8R6uYDda,7BgFlmOxrL7M1jVGoxqy37,spotify:track:7BgFlmOxrL7M1jVGoxqy37,Masing Masing,2023-11-03,2024-10-31T12:37:43Z,234589,77,4,False,Indonesia,2024-11-01,43426743
0f6TyESD8E1mD2oLJ4TGv1,6E4sl58YgjMqfUBNGOfAUa,0PtJbtW50jcvvswNPn3QGd,spotify:track:0PtJbtW50jcvvswNPn3QGd,Serana,2022-09-06,2024-10-31T12:37:43Z,250000,77,5,False,Indonesia,2024-11-01,321290834
47z98pKd71yIbgXwe9LPVC,5agEAxt8vks5Xk0NfEbI5D,2gcMYiZzzmzoF8PPAfL3IO,spotify:track:2gcMYiZzzmzoF8PPAfL3IO,"Untungnya, Hidup Harus Tetap Berjalan",2024-06-23,2024-10-31T12:37:43Z,182903,83,6,False,Indonesia,2024-11-01,110317887
6YPfs6tdZXvnlzgZNU3SYT,3JyJQxbVR1nCUdNn1aXYTX,2JqsSFo6HqOxnmxBtHfNY6,spotify:track:2JqsSFo6HqOxnmxBtHfNY6,Aku Yang Jatuh Cinta,2021-11-19,2024-10-31T12:37:43Z,196343,81,7,False,Indonesia,2024-11-01,164405395
47z98pKd71yIbgXwe9LPVC,5agEAxt8vks5Xk0NfEbI5D,6wj06az0WX7fClA2w319dO,spotify:track:6wj06az0WX7fClA2w319dO,Kata Mereka Ini Berlebihan,2024-06-23,2024-10-31T12:37:43Z,191141,80,8,False,Indonesia,2024-11-01,138872196
7Gy1PxqrgsiqWF6JNYPHeB,0y9i2KHDYh2gKfbpUNiM86,0daEJMXc3b4ZMTnvtHpuTt,spotify:track:0daEJMXc3b4ZMTnvtHpuTt,Nina,2024-08-30,2024-10-31T12:37:43Z,277944,70,9,False,Indonesia,2024-11-01,34164745
"6X28gNASnalAWseUA8uI4X, 3tMTXQyRrPmMyHv5SoC0TV",62tBcSn5N7vgrndYZwC4GB,6cChz3Pak7UtjuVJJRZmCm,spotify:track:6cChz3Pak7UtjuVJJRZmCm,Sialan,2024-09-27,2024-10-31T12:37:43Z,241088,73,10,False,Indonesia,2024-11-01,173424661
16B3ICSQCPu4C6L5TEHXQe,4hbpDc3hQGQO0cIwB6ocfx,70Wtp9jCA3ZhGAxV0pnwS7,spotify:track:70Wtp9jCA3ZhGAxV0pnwS7,Bunga Abadi,2024-03-01,2024-10-31T12:37:43Z,243038,79,11,False,Indonesia,2024-11-01,70721176
3tMTXQyRrPmMyHv5SoC0TV,17vUW6koeUkV58uYfkK6G3,1ZPVEo8RfmrEz8YAD5n6rW,spotify:track:1ZPVEo8RfmrEz8YAD5n6rW,Lantas,2020-11-06,2024-10-31T12:37:43Z,234204,79,12,False,Indonesia,2024-11-01,354372626
"66NmU5epI0ONGmdCRbLpmW, 06QVnTCdjs4jPKO0487EGV",5boeKAXsTkdFlm6OnkQxQW,6Hii26x3qDErVitnGW8QtO,spotify:track:6Hii26x3qDErVitnGW8QtO,Runtuh,2021-10-01,2024-10-31T12:37:43Z,223973,79,13,False,Indonesia,2024-11-01,473081932
47z98pKd71yIbgXwe9LPVC,26VYaukDjQn7rwT4ummk31,5KYUrBgdbIcqwaGSIgfXPl,spotify:track:5KYUrBgdbIcqwaGSIgfXPl,Apa Mungkin,2022-09-23,2024-10-31T12:37:43Z,238879,79,14,False,Indonesia,2024-11-01,177784529
